decision_date,entry_date,end_date,entry_price,end_price,return,upper_barrier,lower_barrier,barrier_touched,value_at_barrier_touched,label
2024-01-25,2024-01-26,2024-01-29,182.63,190.93,0.045447078793188475,188.0108724037034,177.2491275962966,upper,188.0108724037034,1
2024-01-26,2024-01-29,2024-01-29,183.25,190.93,0.04190995907230563,188.50627003204949,177.9937299679505,upper,188.50627003204949,1
2024-01-29,2024-01-30,2024-02-01,190.93,188.86,-0.010841669721887567,196.91152066065828,184.94847933934173,lower,184.94847933934173,-1
2024-01-30,2024-01-31,2024-02-01,191.59,188.86,-0.014249177932042329,197.6304461933632,185.5495538066368,lower,185.5495538066368,-1
2024-01-31,2024-02-01,2024-02-05,187.29,181.06,-0.033263922259597366,193.18355635722446,181.39644364277552,lower,181.39644364277552,-1
2024-02-01,2024-02-02,2024-02-02,188.86,187.91,-0.005030181086519205,194.74812453508827,182.97187546491176,lower,182.97187546491176,-1
2024-02-02,2024-02-05,2024-02-05,187.91,181.06,-0.03645362141450691,193.7616626895492,182.05833731045078,lower,182.05833731045078,-1
2024-02-05,2024-02-06,2024-02-07,181.06,187.58,0.03601016237711262,186.77244160247528,175.34755839752472,upper,186.77244160247528,1
2024-02-06,2024-02-07,2024-02-08,185.1,189.56,0.024095083738519762,191.0307879875445,179.1692120124555,upper,191.0307879875445,1
2024-02-07,2024-02-08,2024-02-09,187.58,193.57,0.03193304190212166,193.6663317471436,181.4936682528564,upper,193.6663317471436,1
2024-02-08,2024-02-09,2024-02-13,189.56,184.02,-0.02922557501582608,195.77167145926984,183.34832854073014,lower,183.34832854073014,-1
2024-02-09,2024-02-12,2024-02-13,193.57,184.02,-0.04933615746241661,199.98849439762208,187.1515056023779,lower,187.1515056023779,-1
2024-02-12,2024-02-13,2024-02-15,188.13,200.45,0.06548663158454257,194.30347462368093,181.95652537631906,upper,194.30347462368093,1
2024-02-13,2024-02-14,2024-02-15,184.02,200.45,0.08928377350288,190.065858568242,177.97414143175803,upper,190.065858568242,1
2024-02-14,2024-02-15,2024-02-15,188.71,200.45,0.06221185946690679,195.04579048996445,182.3742095100356,upper,195.04579048996445,1
2024-02-15,2024-02-16,2024-02-20,200.45,193.76,-0.03337490646046395,207.81423006389406,193.08576993610592,lower,193.08576993610592,-1
2024-02-16,2024-02-20,2024-02-20,199.95,193.76,-0.030957739434858706,207.2939514798548,192.60604852014515,lower,192.60604852014515,-1
2024-02-20,2024-02-21,2024-02-26,193.76,199.4,0.029108175061932366,200.96257500257244,186.55742499742755,upper,200.96257500257244,1
2024-02-21,2024-02-22,2024-02-27,194.77,199.73,0.02546593417877486,202.01642148342242,187.5235785165776,upper,202.01642148342242,1
2024-02-22,2024-02-23,2024-02-27,197.41,199.73,0.011752190871789641,204.78787644997203,190.03212355002796,upper,204.78787644997203,1
2024-02-23,2024-02-26,2024-02-26,191.97,199.4,0.03870396416106687,196.89562178139903,187.04437821860097,upper,196.89562178139903,1
2024-02-26,2024-02-27,2024-02-27,199.4,199.73,0.0016549648946839724,204.76111162716703,194.03888837283301,upper,204.76111162716703,1
2024-02-27,2024-02-28,2024-02-28,199.73,202.04,0.011565613578330759,204.8051859432306,194.65481405676937,upper,204.8051859432306,1
2024-02-28,2024-02-29,2024-03-04,202.04,188.14,-0.0687982577707385,207.18997213633912,196.89002786366086,lower,196.89002786366086,-1
2024-02-29,2024-03-01,2024-03-04,201.88,188.14,-0.06806023380225881,206.88752892412262,196.87247107587734,lower,196.87247107587734,-1
2024-03-01,2024-03-04,2024-03-04,202.64,188.14,-0.07155546782471378,207.6621268571676,197.61787314283237,lower,197.61787314283237,-1
2024-03-04,2024-03-05,2024-03-05,188.14,180.74,-0.03933241203359189,193.77621782421068,182.5037821757893,lower,182.5037821757893,-1
2024-03-05,2024-03-06,2024-03-06,180.74,176.54,-0.02323780015491876,186.1894409145002,175.2905590854998,lower,175.2905590854998,-1
2024-03-06,2024-03-07,2024-03-08,176.54,175.34,-0.006797326384955187,181.8581795777404,171.22182042225958,upper,181.8581795777404,1
2024-03-07,2024-03-08,2024-03-12,178.65,177.54,-0.006213266162888405,184.0251289099012,173.2748710900988,lower,173.2748710900988,-1
2024-03-08,2024-03-11,2024-03-11,175.34,177.77,0.013858788639215278,180.62673210824923,170.05326789175078,upper,180.62673210824923,1
2024-03-11,2024-03-12,2024-03-12,177.77,177.54,-0.0012938066040390289,183.0819120792726,172.45808792072742,lower,172.45808792072742,-1
2024-03-12,2024-03-13,2024-03-13,177.54,169.48,-0.04539822011940973,182.74733209297196,172.33266790702802,lower,172.33266790702802,-1
2024-03-13,2024-03-14,2024-03-14,169.48,162.5,-0.04118480056643846,174.6651435346513,164.2948564653487,lower,164.2948564653487,-1
2024-03-14,2024-03-15,2024-03-18,162.5,173.8,0.0695384615384616,167.51840437467118,157.48159562532885,upper,167.51840437467118,1
2024-03-15,2024-03-18,2024-03-18,163.57,173.8,0.06254203093476811,167.90760012685072,159.23239987314926,upper,167.90760012685072,1
2024-03-18,2024-03-19,2024-03-19,173.8,171.32,-0.014269275028768803,179.19772344117993,168.40227655882006,lower,168.40227655882006,-1
2024-03-19,2024-03-20,2024-03-21,171.32,172.82,0.008755545178613123,176.56010445869285,166.0798955413071,upper,176.56010445869285,1
2024-03-20,2024-03-21,2024-03-22,175.66,170.83,-0.0274962996698166,181.15585601506447,170.16414398493552,lower,170.16414398493552,-1
2024-03-21,2024-03-22,2024-03-22,172.82,170.83,-0.011514870964008684,178.1912984919022,167.4487015080978,lower,167.4487015080978,-1
2024-03-22,2024-03-25,2024-03-26,170.83,177.67,0.04003980565474433,176.07516131850613,165.58483868149386,upper,176.07516131850613,1
