time,open,high,low,close,Volume,Histogram,MACD,Signal,K,D,Turnover (Cr),10 MA Turnover,Turnover / 10MA (X)
1569418200,14.970652,15.265318,14.557319,15.246651,141664431,-0.07056674621431441,0.12520896450447871,0.19577571071879313,19.650276142531357,22.635046601920767,215.9908138570581,154.33943803987785,1.3994531572756597
1569504600,15.377318,16.22065,15.159985,16.17065,181181956,-0.03553155819283921,0.1513612629777441,0.1868928211705833,20.977910383673983,19.864747300072573,292.98299967913994,162.53911702387057,1.8025383984097336
1569591000,16.146651,16.58065,15.915317,16.141984,166847851.00000003,-0.01524282141868763,0.16783929439722378,0.1830821158159114,34.23511722796174,24.95443458472235,269.3255341276385,176.44383926564342,1.526409396035403
1569850200,16.199984,16.265317,15.740724,16.057984,89192504.00000001,-0.008756988843740848,0.17213587976123534,0.1808928686049762,44.39148816438713,33.201505258674274,143.22518021519363,179.2860676422761,0.7988639725255527
1569936600,16.099984,16.39665,15.941984,16.31265,92944442,0.010370284608329616,0.19385572436538823,0.1834854397570586,60.654113744898474,46.426906379082446,151.61701517913,184.7861306606191,0.8204999727906637
1570023000,16.219317,16.309984,15.961984,16.20865,93848312.99999999,0.013505422828956032,0.20036721829325366,0.18686179546429763,69.50842669652688,58.184676201937485,152.11544585074498,189.7026675946816,0.8018624502200179
1570109400,15.457318,15.631984,14.951985,15.535318,227066672,-0.029911568387569892,0.14947233497983525,0.17938390336740515,60.659629060353005,63.60738983392611,352.7552956721696,212.93638597023423,1.6566229114148687
1570195800,15.440651,15.651984,15.204651,15.428651,120317820.00000001,-0.06399913106586136,0.09938498953507846,0.16338412060093982,51.23789218871131,60.46864931519705,185.63416538608203,215.84443045231177,0.8600368561610658
1570455000,15.319985,15.903984,15.236651,15.847984,121304475.99999999,-0.05673830418134726,0.09246124037425574,0.149199544555603,53.44086819365896,55.11279648090775,192.24313947763838,224.474815437698,0.8564129526191531
1570541400,15.724651,16.26265,15.633318,16.003317,130535200.00000001,-0.040660277489176166,0.0983741976941328,0.13903447518330897,53.91213105706455,52.8636304798116,208.89961852584003,216.47892079706352,0.9649882665558526
1570627800,16.087984,16.486317,16.043317,16.301984,104025599.00000001,-0.010658723479227694,0.12571107083427435,0.13636979431350205,59.40492972764368,55.585976326122385,169.58236504884164,211.83807591624185,0.8005282540230984
1570714200,16.351984,16.61865,16.105317,16.315984,94701349,0.008354607154400812,0.14681305325650307,0.13845844610210226,74.6412682112626,62.65277633199028,154.5145695062416,197.99123289895206,0.7804111689384778
1570800600,16.47665,16.73865,16.453984,16.525983,127322512,0.031973178494087484,0.1784249192197116,0.1464517407256241,90.80579823861653,74.95066539250762,210.41296688292962,192.09997617448116,1.0953305204567807
1571059800,16.52665,17.236649,16.475317,17.13065,153403098,0.08235401735482362,0.24939426241915363,0.16704024506433002,96.73388844391692,87.39365163126536,262.78947807536997,204.05640596049878,1.2878276319648634
1571146200,17.179983,17.333316,16.941316,17.192649,97191937,0.11204837475034263,0.3071007135022583,0.1950523387519157,100,95.84656222751114,167.09868584711128,205.6045730272969,0.8127187220924632
1571232600,17.159316,17.473316,17.127983,17.316649,100564645,0.1309215971081828,0.35870433513714417,0.22778273802896137,100,98.91129614797232,174.14426592746054,207.80745503496846,0.8380077889802207
1571319000,17.499982,17.651982,17.344649,17.464649,71685716,0.1432562032912092,0.4068529921429729,0.2635967888517637,100,100,125.1965868253684,185.05158415028833,0.6765496626264538
1571405400,17.379983,17.519982,17.00665,17.129983,86305076,0.1197168047025517,0.4132427947299533,0.2935259900274016,87.81970316731113,95.93990105577039,147.84044846937078,181.27221245861722,0.8155714903249245
1571664600,17.221983,17.299983,16.67865,16.899983,76621591,0.08133292987600071,0.39519215237240246,0.31385922249640175,71.21453212041955,86.34474509591024,129.4903585332953,174.9969343641829,0.7399578684265138
1571751000,16.95465,17.221983,16.723317,17.03865,69376493.99999999,0.05899906354110762,0.38760805192278625,0.3286089883816786,58.60732196320596,72.54718575031222,118.20817994930997,165.92779050652987,0.7124073646039302
1571837400,16.96665,17.075983,16.75665,16.97865,168242898,0.03508287514892966,0.3724625823178407,0.337379707168911,44.3125588954357,58.044804326353734,285.65372801277,177.53492680292274,1.609000173413017
1571923800,19.891313,20.328646,19.279981,19.978647,447288912.00000006,0.2066305429211236,0.5956678858203155,0.3890373428991919,43.623657409300485,48.847846089314054,893.6227279862064,251.44574265091924,3.5539385895541606
1572010200,19.84798,21.999978,19.740647,21.875311,450091815.00000006,0.4208152694819673,0.915056429751651,0.49424116026968373,55.803954241989345,47.91339018224184,984.5898431679466,328.8634302794209,2.993917086893436
1572269400,21.835978,22.722644,21.506645,21.847311,283054573,0.5267094779493595,1.152628007706383,0.6259185297570236,72.09670413698066,57.17477192942349,618.3981286303203,364.42429533491594,1.6969179512633632
1572355800,21.332645,21.619978,20.983312,21.081312,190264195,0.5108802886996038,1.2645188906315283,0.7536386019319246,75.4282655428448,67.77630797393827,401.101885722384,387.82461532244326,1.0342352441680418
1572442200,20.866646,21.252645,20.664646,21.000646,144627293.99999997,0.46215897567053954,1.331337321520099,0.8691783458495594,79.49170844359523,75.67222604114023,303.72666032319233,400.7828547620164,0.7578334669619144
1572528600,20.873312,21.266645,20.866646,20.994646,76004416,0.3990872243159792,1.3680373762445335,0.9689501519285543,69.84789345731615,74.92262248125206,159.5685808356736,404.22005416304694,0.39475671528981027
1572615000,21.087979,21.098646,20.653313,20.887312,95759030,0.3229507220037606,1.372638554433255,1.0496878324294945,57.1236402709006,68.82108072393733,200.014873642736,409.43749668038345,0.4885113729553508
1572877800,20.986646,21.462645,20.617313,21.164646,131805731.00000001,0.2664292312421339,1.382724371482162,1.116295140240028,48.95762777704955,58.64305383508876,278.9621637386227,424.3846772009162,0.657333260895642
1572964200,21.307979,21.567312,21.074512,21.147979,104151359,0.2057952965664005,1.3735392609480286,1.167743964381628,49.144546753705946,51.7419382672187,220.25907529534612,434.5897667355198,0.5068206666481178
1573050600,21.199979,21.781312,20.966646,21.771978,119114099,0.18617905106354193,1.4004677782110555,1.2142887271475136,56.33950785349761,51.48056079475103,259.3349542917822,431.95788936342103,0.6003709173455906
1573137000,21.942645,22.766644,21.867978,22.369311,217010436.99999997,0.19117411295222975,1.4532563683378008,1.262082255385571,65.47120837304121,56.98508766008158,485.4373955498906,391.13935611978945,1.2410855311660882
1573223400,22.299978,22.497311,22.166644,22.475978,91113406.00000001,0.17958433380680727,1.4865626726440802,1.3069783388372729,77.07290610753068,66.29454077802316,204.78629087610685,313.1590008906055,0.653937106369949
1573482600,22.929977,23.27931,22.799977,23.005977,149905484,0.18481380321330998,1.5379955928539104,1.3531817896406004,85.41442143044651,75.98617863700612,344.8722117077868,285.80640919835207,1.2066636737612226
1573569000,23.126644,23.357977,22.935977,23.328643,110390855,0.1866583786077689,1.5865047629003115,1.3998463842925426,94.50315120513959,85.66349291437227,257.52688467597653,271.44890909371134,0.9487121739990911
1573655400,23.666643,23.75531,23.011977,23.073977,127018072.00000003,0.14901526063244885,1.5861154600831036,1.4371001994506547,85.1862534165893,88.36794201739178,293.08120719123445,270.38436378051557,1.0839428844677683
1573741800,23.073977,23.58931,22.860644,23.289977,97075642,0.1182925045399994,1.584965830125654,1.4666733255856546,77.3564516357416,85.68195208582348,226.0889469440234,277.0364003913505,0.8160983416787212
1573828200,23.375977,23.519976,23.223977,23.477977,72188517,0.0914613277145051,1.580999985228786,1.4895386575142808,71.92115469865921,78.1546199169967,169.4840341790109,273.983316444978,0.61859253467737
1574087400,23.527743,23.54331,23.07331,23.332643,66127641,0.046994795989144134,1.548282152500711,1.501287356511567,56.365019841173,68.5475420585246,154.29326398851632,261.5164264699674,0.5899945409594963
1574173800,23.449977,23.999309,23.186643,23.967976,116041286.00000001,0.043519008050064256,1.5556861165741473,1.512167108524083,50.609087439602206,59.6317539931448,278.1274757857136,267.3032665190042,1.0404941151960816
1574260200,23.999976,24.079976,23.304643,23.48131,101009576,-0.005784912867299319,1.504935967439959,1.5107208803072583,42.96234429538066,49.97881719205194,237.183716702456,265.08814276007155,0.8947352915634874
1574346600,23.633976,24.055976,23.600236,23.65531,91650286,-0.03905308102127725,1.4619045290306616,1.5009576100519388,35.73305790660977,43.101496547197534,216.801592691866,238.22456247426913,0.9100723722193128
1574433000,22.677311,22.733311,21.999978,22.202644,253059882.99999997,-0.1642473917199918,1.295648370401949,1.4598957621219408,22.290910295618254,33.66210416586955,561.859849293065,273.93191831596494,2.051093033433919
1574692200,22.954644,22.97131,22.297311,22.422644,185186660.00000003,-0.23337634552301179,1.168175330218176,1.4015516757411879,20.774552470260055,26.266173557496018,415.237455072904,280.96844265247665,1.4778793346073444
1574778600,22.351311,22.366644,21.806645,21.927978,119343704.00000001,-0.3088171684330199,1.015530215199913,1.324347383632933,6.975247212822926,16.68023665956707,261.69661157505124,281.38541534238414,0.9300290537682063
1574865000,22.074645,22.261978,21.904645,22.085978,83451968,-0.34190393985370227,0.896967458815805,1.2388713986695072,10.051674143797083,12.600491275626675,184.3118329304704,270.5084779163077,0.6813532586860158
1575037800,22.073978,22.083978,21.833311,21.995978,36984471,-0.3617570614918333,0.7866750718047157,1.148432133296549,8.608561717255565,8.545161024625179,81.3509610457638,256.03467932648175,0.3177341493729035
